frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
16,  0,  0.750,  0.98,  1, 0.72, 0.35, 0.00, 0.00, 0.00, 0.09, 0.00, 0.00, 0.00, 0.19, 0.01, 0.01, 0.00, 0.14, 0.28, 0.17, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
17,  0,  0.800,  0.98,  1, 0.70, 0.26, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.01, 0.14, 0.00, 0.06, 0.00, 0.18, 0.32, 0.07, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
18,  0,  0.850,  0.98,  1, 0.68, 0.28, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.03, 0.16, 0.05, 0.05, 0.00, 0.14, 0.24, 0.18, 0.07, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
19,  0,  0.900,  0.98,  1, 0.62, 0.30, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.03, 0.11, 0.05, 0.05, 0.00, 0.09, 0.29, 0.27, 0.14, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
20,  0,  0.950,  0.98,  1, 0.52, 0.22, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.02, 0.11, 0.05, 0.00, 0.00, 0.04, 0.28, 0.28, 0.17, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
21,  0,  1.000,  0.98,  1, 0.43, 0.09, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.04, 0.00, 0.00, 0.00, 0.03, 0.30, 0.15, 0.16, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
22,  0,  1.050,  0.98,  1, 0.32, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.01, 0.11, 0.00, 0.00, 0.00, 0.04, 0.15, 0.03, 0.09, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
23,  0,  1.100,  0.98,  1, 0.42, 0.13, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.02, 0.13, 0.00, 0.00, 0.00, 0.03, 0.14, 0.07, 0.06, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
24,  0,  1.150,  0.98,  1, 0.40, 0.24, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.03, 0.16, 0.00, 0.00, 0.00, 0.08, 0.10, 0.07, 0.06, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
25,  0,  1.200,  0.98,  1, 0.50, 0.34, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.02, 0.13, 0.00, 0.00, 0.00, 0.07, 0.18, 0.27, 0.06, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
