frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.93,  1, 0.73, 0.00, 0.00, 0.00, 0.94, 1.28, 0.00, 0.18, 1.78, 0.13, 0.00, 0.00, 0.00, 0.00, 1.68, 0.47, 0.52, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00
2,  0,  0.033,  0.93,  1, 0.89, 0.04, 0.00, 0.00, 0.97, 0.82, 0.00, 0.54, 1.90, 0.15, 0.02, 0.00, 0.00, 0.00, 1.67, 0.24, 0.17, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
3,  0,  0.067,  0.93,  1, 1.07, 0.22, 0.00, 0.00, 0.99, 0.76, 0.00, 0.70, 1.96, 0.26, 0.02, 0.02, 0.00, 0.00, 1.70, 0.32, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
4,  0,  0.100,  0.93,  1, 1.21, 0.45, 0.00, 0.00, 0.99, 0.98, 0.00, 0.65, 1.97, 0.34, 0.02, 0.04, 0.00, 0.00, 1.71, 0.51, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
5,  0,  0.133,  0.93,  1, 1.33, 0.64, 0.00, 0.00, 0.99, 1.07, 0.02, 0.67, 2.01, 0.49, 0.02, 0.04, 0.00, 0.00, 1.74, 0.71, 0.21, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
6,  0,  0.167,  0.93,  1, 1.39, 0.68, 0.00, 0.00, 1.00, 1.04, 0.02, 0.69, 2.05, 0.50, 0.02, 0.04, 0.00, 0.00, 1.76, 0.72, 0.36, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00
7,  0,  0.200,  0.93,  1, 1.36, 0.54, 0.00, 0.00, 1.00, 0.78, 0.02, 0.67, 2.09, 0.45, 0.00, 0.03, 0.00, 0.00, 1.78, 0.73, 0.62, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00
8,  0,  0.233,  0.93,  1, 1.28, 0.39, 0.00, 0.00, 0.98, 0.70, 0.00, 0.58, 2.11, 0.36, 0.00, 0.03, 0.00, 0.00, 1.76, 0.75, 0.67, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00
9,  0,  0.267,  0.93,  1, 1.28, 0.39, 0.00, 0.00, 1.06, 0.80, 0.01, 0.60, 2.17, 0.39, 0.01, 0.02, 0.00, 0.00, 1.82, 0.69, 0.68, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00
10,  0,  0.300,  0.93,  1, 1.34, 0.53, 0.00, 0.00, 1.17, 1.15, 0.03, 0.68, 2.19, 0.42, 0.04, 0.00, 0.00, 0.00, 1.89, 0.66, 0.51, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00
11,  0,  0.333,  0.93,  1, 1.40, 0.69, 0.00, 0.00, 1.24, 1.29, 0.03, 0.73, 2.23, 0.48, 0.19, 0.03, 0.00, 0.00, 1.84, 0.51, 0.25, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00
12,  0,  0.367,  0.93,  1, 1.35, 0.67, 0.00, 0.00, 1.20, 1.19, 0.02, 0.66, 2.24, 0.44, 0.29, 0.06, 0.00, 0.00, 1.71, 0.47, 0.10, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00
13,  0,  0.400,  0.93,  1, 1.29, 0.50, 0.00, 0.00, 1.15, 0.91, 0.01, 0.73, 2.35, 0.50, 0.31, 0.06, 0.00, 0.00, 1.62, 0.29, 0.50, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00
14,  0,  0.433,  0.93,  1, 1.29, 0.36, 0.00, 0.00, 1.15, 0.82, 0.03, 0.85, 2.41, 0.52, 0.21, 0.03, 0.00, 0.00, 1.66, 0.21, 1.01, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00
15,  0,  0.467,  0.93,  1, 1.31, 0.27, 0.00, 0.00, 1.20, 0.86, 0.05, 0.95, 2.40, 0.47, 0.25, 0.01, 0.00, 0.00, 1.65, 0.20, 1.16, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00
16,  0,  0.500,  0.93,  1, 1.35, 0.30, 0.00, 0.00, 1.24, 1.01, 0.07, 0.89, 2.31, 0.38, 0.35, 0.01, 0.00, 0.00, 1.60, 0.27, 0.76, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00
17,  0,  0.533,  0.93,  1, 1.26, 0.23, 0.00, 0.00, 1.27, 1.04, 0.08, 0.80, 2.29, 0.32, 0.41, 0.02, 0.00, 0.00, 1.52, 0.26, 0.25, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00
18,  0,  0.567,  0.93,  1, 1.17, 0.13, 0.00, 0.00, 1.24, 0.88, 0.12, 0.75, 2.32, 0.30, 0.38, 0.07, 0.00, 0.00, 1.44, 0.18, 0.10, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00
19,  0,  0.600,  0.93,  1, 1.10, 0.14, 0.00, 0.00, 1.22, 0.64, 0.09, 0.76, 2.37, 0.29, 0.32, 0.13, 0.00, 0.00, 1.45, 0.20, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00
